norma_id,norma,escala,tipo,uso,parametro_id,parametro,minimo,maximo,umbral_ligero,umbral_severo,unidad,expresado_como,tipo_de_valor,condicion,nota,cita
caa982,"Código Alimentario Argentino, art. 982",Nacional · Argentina,Obligatoria para agua de red,consumo,turb,Turbiedad,,3,,,NTU,,estetico,,,"Código Alimentario Argentino (Ley 18.284), Capítulo XII, artículo 982, texto según Resolución Conjunta SCS–SAByDR 33/2023."
caa982,"Código Alimentario Argentino, art. 982",Nacional · Argentina,Obligatoria para agua de red,consumo,color,Color,,5,,,Pt-Co,,estetico,,,"Código Alimentario Argentino (Ley 18.284), Capítulo XII, artículo 982, texto según Resolución Conjunta SCS–SAByDR 33/2023."
caa982,"Código Alimentario Argentino, art. 982",Nacional · Argentina,Obligatoria para agua de red,consumo,ph,pH,6.5,8.5,,,unid. pH,,operativo,,,"Código Alimentario Argentino (Ley 18.284), Capítulo XII, artículo 982, texto según Resolución Conjunta SCS–SAByDR 33/2023."
caa982,"Código Alimentario Argentino, art. 982",Nacional · Argentina,Obligatoria para agua de red,consumo,nh4,Amonio,,0.2,,,mg/L,NH4,salud,,,"Código Alimentario Argentino (Ley 18.284), Capítulo XII, artículo 982, texto según Resolución Conjunta SCS–SAByDR 33/2023."
caa982,"Código Alimentario Argentino, art. 982",Nacional · Argentina,Obligatoria para agua de red,consumo,sb,Antimonio,,0.02,,,mg/L,,salud,,,"Código Alimentario Argentino (Ley 18.284), Capítulo XII, artículo 982, texto según Resolución Conjunta SCS–SAByDR 33/2023."
caa982,"Código Alimentario Argentino, art. 982",Nacional · Argentina,Obligatoria para agua de red,consumo,al,Aluminio,,0.2,,,mg/L,,salud,,Aluminio residual.,"Código Alimentario Argentino (Ley 18.284), Capítulo XII, artículo 982, texto según Resolución Conjunta SCS–SAByDR 33/2023."
caa982,"Código Alimentario Argentino, art. 982",Nacional · Argentina,Obligatoria para agua de red,consumo,as,Arsénico,,0.01,,,mg/L,,salud,,"Para regiones con alto contenido natural de arsénico, el CAA previó un plazo de adecuación desde 0,05 mg/l, prorrogado hasta completar los estudios de hidroarsenicismo. Verificar la situación de la jurisdicción.","Código Alimentario Argentino (Ley 18.284), Capítulo XII, artículo 982, texto según Resolución Conjunta SCS–SAByDR 33/2023."
caa982,"Código Alimentario Argentino, art. 982",Nacional · Argentina,Obligatoria para agua de red,consumo,b,Boro,,2.4,,,mg/L,,salud,,"2,4 mg/l desde la Res. Conj. 33/2023 (antes 0,5 mg/l).","Código Alimentario Argentino (Ley 18.284), Capítulo XII, artículo 982, texto según Resolución Conjunta SCS–SAByDR 33/2023."
caa982,"Código Alimentario Argentino, art. 982",Nacional · Argentina,Obligatoria para agua de red,consumo,bro3,Bromato,,0.01,,,mg/L,,salud,,,"Código Alimentario Argentino (Ley 18.284), Capítulo XII, artículo 982, texto según Resolución Conjunta SCS–SAByDR 33/2023."
caa982,"Código Alimentario Argentino, art. 982",Nacional · Argentina,Obligatoria para agua de red,consumo,cd,Cadmio,,0.005,,,mg/L,,salud,,,"Código Alimentario Argentino (Ley 18.284), Capítulo XII, artículo 982, texto según Resolución Conjunta SCS–SAByDR 33/2023."
caa982,"Código Alimentario Argentino, art. 982",Nacional · Argentina,Obligatoria para agua de red,consumo,cn,Cianuro,,0.1,,,mg/L,,salud,,,"Código Alimentario Argentino (Ley 18.284), Capítulo XII, artículo 982, texto según Resolución Conjunta SCS–SAByDR 33/2023."
caa982,"Código Alimentario Argentino, art. 982",Nacional · Argentina,Obligatoria para agua de red,consumo,zn,Cinc,,5,,,mg/L,,salud,,,"Código Alimentario Argentino (Ley 18.284), Capítulo XII, artículo 982, texto según Resolución Conjunta SCS–SAByDR 33/2023."
caa982,"Código Alimentario Argentino, art. 982",Nacional · Argentina,Obligatoria para agua de red,consumo,cl,Cloruro,,350,,,mg/L,,salud,,,"Código Alimentario Argentino (Ley 18.284), Capítulo XII, artículo 982, texto según Resolución Conjunta SCS–SAByDR 33/2023."
caa982,"Código Alimentario Argentino, art. 982",Nacional · Argentina,Obligatoria para agua de red,consumo,cu,Cobre,,1,,,mg/L,,salud,,,"Código Alimentario Argentino (Ley 18.284), Capítulo XII, artículo 982, texto según Resolución Conjunta SCS–SAByDR 33/2023."
caa982,"Código Alimentario Argentino, art. 982",Nacional · Argentina,Obligatoria para agua de red,consumo,cr,Cromo total,,0.05,,,mg/L,,salud,,,"Código Alimentario Argentino (Ley 18.284), Capítulo XII, artículo 982, texto según Resolución Conjunta SCS–SAByDR 33/2023."
caa982,"Código Alimentario Argentino, art. 982",Nacional · Argentina,Obligatoria para agua de red,consumo,dureza,Dureza total,,400,,,mg/L CaCO₃,,estetico,,,"Código Alimentario Argentino (Ley 18.284), Capítulo XII, artículo 982, texto según Resolución Conjunta SCS–SAByDR 33/2023."
caa982,"Código Alimentario Argentino, art. 982",Nacional · Argentina,Obligatoria para agua de red,consumo,f,Fluoruro,,,,,mg/L,,salud,"Según temperatura media anual: de 1,7 a 0,8 mg/L","El límite depende de la temperatura media y máxima del año del lugar (tabla del art. 982): de 1,7 mg/l (10–12 °C) a 0,8 mg/l (26,3–32,6 °C). Se carga por sitio.","Código Alimentario Argentino (Ley 18.284), Capítulo XII, artículo 982, texto según Resolución Conjunta SCS–SAByDR 33/2023."
caa982,"Código Alimentario Argentino, art. 982",Nacional · Argentina,Obligatoria para agua de red,consumo,fe,Hierro,,0.3,,,mg/L,,salud,,,"Código Alimentario Argentino (Ley 18.284), Capítulo XII, artículo 982, texto según Resolución Conjunta SCS–SAByDR 33/2023."
caa982,"Código Alimentario Argentino, art. 982",Nacional · Argentina,Obligatoria para agua de red,consumo,mn,Manganeso,,0.1,,,mg/L,,salud,,"La Res. Conj. 33/2023 admite hasta 0,4 mg/l en zonas con alto contenido natural de manganeso.","Código Alimentario Argentino (Ley 18.284), Capítulo XII, artículo 982, texto según Resolución Conjunta SCS–SAByDR 33/2023."
caa982,"Código Alimentario Argentino, art. 982",Nacional · Argentina,Obligatoria para agua de red,consumo,hg,Mercurio,,0.001,,,mg/L,,salud,,,"Código Alimentario Argentino (Ley 18.284), Capítulo XII, artículo 982, texto según Resolución Conjunta SCS–SAByDR 33/2023."
caa982,"Código Alimentario Argentino, art. 982",Nacional · Argentina,Obligatoria para agua de red,consumo,ni,Níquel,,0.02,,,mg/L,,salud,,,"Código Alimentario Argentino (Ley 18.284), Capítulo XII, artículo 982, texto según Resolución Conjunta SCS–SAByDR 33/2023."
caa982,"Código Alimentario Argentino, art. 982",Nacional · Argentina,Obligatoria para agua de red,consumo,no3,Nitrato,,45,,,mg/L,NO3,salud,,,"Código Alimentario Argentino (Ley 18.284), Capítulo XII, artículo 982, texto según Resolución Conjunta SCS–SAByDR 33/2023."
caa982,"Código Alimentario Argentino, art. 982",Nacional · Argentina,Obligatoria para agua de red,consumo,no2,Nitrito,,0.1,,,mg/L,NO2,salud,,,"Código Alimentario Argentino (Ley 18.284), Capítulo XII, artículo 982, texto según Resolución Conjunta SCS–SAByDR 33/2023."
caa982,"Código Alimentario Argentino, art. 982",Nacional · Argentina,Obligatoria para agua de red,consumo,ag,Plata,,0.05,,,mg/L,,salud,,,"Código Alimentario Argentino (Ley 18.284), Capítulo XII, artículo 982, texto según Resolución Conjunta SCS–SAByDR 33/2023."
caa982,"Código Alimentario Argentino, art. 982",Nacional · Argentina,Obligatoria para agua de red,consumo,pb,Plomo,,0.05,,,mg/L,,salud,,,"Código Alimentario Argentino (Ley 18.284), Capítulo XII, artículo 982, texto según Resolución Conjunta SCS–SAByDR 33/2023."
caa982,"Código Alimentario Argentino, art. 982",Nacional · Argentina,Obligatoria para agua de red,consumo,se,Selenio,,0.01,,,mg/L,,salud,,,"Código Alimentario Argentino (Ley 18.284), Capítulo XII, artículo 982, texto según Resolución Conjunta SCS–SAByDR 33/2023."
caa982,"Código Alimentario Argentino, art. 982",Nacional · Argentina,Obligatoria para agua de red,consumo,sdt,Sólidos disueltos totales,,1500,,,mg/L,,salud,,,"Código Alimentario Argentino (Ley 18.284), Capítulo XII, artículo 982, texto según Resolución Conjunta SCS–SAByDR 33/2023."
caa982,"Código Alimentario Argentino, art. 982",Nacional · Argentina,Obligatoria para agua de red,consumo,so4,Sulfato,,400,,,mg/L,,salud,,,"Código Alimentario Argentino (Ley 18.284), Capítulo XII, artículo 982, texto según Resolución Conjunta SCS–SAByDR 33/2023."
caa982,"Código Alimentario Argentino, art. 982",Nacional · Argentina,Obligatoria para agua de red,consumo,clres,Cloro residual,0.2,,,,mg/L,,operativo,,"Mínimo exigible en agua de red desinfectada con cloro; no corresponde en agua sin tratar.","Código Alimentario Argentino (Ley 18.284), Capítulo XII, artículo 982, texto según Resolución Conjunta SCS–SAByDR 33/2023."
caa982,"Código Alimentario Argentino, art. 982",Nacional · Argentina,Obligatoria para agua de red,consumo,colt,Coliformes totales,,0,,,UFC/100 mL,,salud,,Ausencia en 100 ml.,"Código Alimentario Argentino (Ley 18.284), Capítulo XII, artículo 982, texto según Resolución Conjunta SCS–SAByDR 33/2023."
caa982,"Código Alimentario Argentino, art. 982",Nacional · Argentina,Obligatoria para agua de red,consumo,ecoli,Escherichia coli,,0,,,UFC/100 mL,,salud,,Ausencia en 100 ml.,"Código Alimentario Argentino (Ley 18.284), Capítulo XII, artículo 982, texto según Resolución Conjunta SCS–SAByDR 33/2023."
caa982,"Código Alimentario Argentino, art. 982",Nacional · Argentina,Obligatoria para agua de red,consumo,pseud,Pseudomonas aeruginosa,,0,,,UFC/100 mL,,salud,,Ausencia en 100 ml.,"Código Alimentario Argentino (Ley 18.284), Capítulo XII, artículo 982, texto según Resolución Conjunta SCS–SAByDR 33/2023."
caa982,"Código Alimentario Argentino, art. 982",Nacional · Argentina,Obligatoria para agua de red,consumo,meso,Bacterias aerobias mesófilas,,500,,,UFC/mL,,salud,,Hasta 500 UFC/ml.,"Código Alimentario Argentino (Ley 18.284), Capítulo XII, artículo 982, texto según Resolución Conjunta SCS–SAByDR 33/2023."
who2022,"OMS · Guías para la calidad del agua de consumo humano, 4.ª ed. con 1.ª y 2.ª adenda (2022)",Internacional · OMS,Guía internacional (no obligatoria),consumo,sb,Antimonio,,0.02,,,mg/L,,salud,,,"WHO. 2022. Guidelines for drinking-water quality: fourth edition incorporating the first and second addenda. World Health Organization, Ginebra. Tabla A3.3 y capítulo 10."
who2022,"OMS · Guías para la calidad del agua de consumo humano, 4.ª ed. con 1.ª y 2.ª adenda (2022)",Internacional · OMS,Guía internacional (no obligatoria),consumo,as,Arsénico,,0.01,,,mg/L,,salud,,"Provisional: se fijó por lo que se puede medir y tratar, no sólo por salud.","WHO. 2022. Guidelines for drinking-water quality: fourth edition incorporating the first and second addenda. World Health Organization, Ginebra. Tabla A3.3 y capítulo 10."
who2022,"OMS · Guías para la calidad del agua de consumo humano, 4.ª ed. con 1.ª y 2.ª adenda (2022)",Internacional · OMS,Guía internacional (no obligatoria),consumo,ba,Bario,,1.3,,,mg/L,,salud,,,"WHO. 2022. Guidelines for drinking-water quality: fourth edition incorporating the first and second addenda. World Health Organization, Ginebra. Tabla A3.3 y capítulo 10."
who2022,"OMS · Guías para la calidad del agua de consumo humano, 4.ª ed. con 1.ª y 2.ª adenda (2022)",Internacional · OMS,Guía internacional (no obligatoria),consumo,b,Boro,,2.4,,,mg/L,,salud,,,"WHO. 2022. Guidelines for drinking-water quality: fourth edition incorporating the first and second addenda. World Health Organization, Ginebra. Tabla A3.3 y capítulo 10."
who2022,"OMS · Guías para la calidad del agua de consumo humano, 4.ª ed. con 1.ª y 2.ª adenda (2022)",Internacional · OMS,Guía internacional (no obligatoria),consumo,bro3,Bromato,,0.01,,,mg/L,,salud,,,"WHO. 2022. Guidelines for drinking-water quality: fourth edition incorporating the first and second addenda. World Health Organization, Ginebra. Tabla A3.3 y capítulo 10."
who2022,"OMS · Guías para la calidad del agua de consumo humano, 4.ª ed. con 1.ª y 2.ª adenda (2022)",Internacional · OMS,Guía internacional (no obligatoria),consumo,cd,Cadmio,,0.003,,,mg/L,,salud,,,"WHO. 2022. Guidelines for drinking-water quality: fourth edition incorporating the first and second addenda. World Health Organization, Ginebra. Tabla A3.3 y capítulo 10."
