Sitio	Fecha	pH	Conductividad (µS/cm)	Temperatura (°C)	SDT (mg/L)	OD (mg/L)	DBO5 (mg/L)	SS (mg/L)	Turbiedad (NTU)	Calcio (mg/L)	Magnesio (mg/L)	Sodio (mg/L)	Potasio (mg/L)	Cloruro (mg/L)	Sulfato (mg/L)	Bicarbonato (mg/L)	Nitrato (mg/L NO3)	Nitrito (mg/L NO2)	Fluoruro (mg/L)	Arsénico (µg/L)	Boro (mg/L)	Litio (mg/L)	Hierro (mg/L)	Manganeso (mg/L)	Plomo (µg/L)	Cadmio (µg/L)	Cobre (mg/L)	Cinc (mg/L)	Uranio (µg/L)	Coliformes totales (NMP/100 mL)	E. coli (NMP/100 mL)
P1	2025-01-15	7,62	943,7	15,6	620	3,772	1,108	8,206	0,5965	56,44	16,52	140	4,202	85,38	188,6	219	21,12	0,01369	1,294	21,83	0,5429	0,2406	0,04019	0,02892	1,587	<0,1	0,008235	0,03262	4,533	<1	<1
P1	2025-02-15	7,77	870,6	14,9	581,4	4,047	0,5974	4,291	1,277	50,15	8,119	146,7	10,72	119,9	134,9	198,2	13,46	0,01637	1,238	24,49	1,262	0,276	0,05543	0,03891	1,964	0,2234	0,01174	0,04999	3,078	5	<1
P1	2025-03-15	7,95	971,3	16,2	625,4	6,638	1,122	4,53	1,028	101,3	6,879	118,1	9,554	136,9	80,83	320	14,44	<0,01	1,645	29,4	1,332	0,278	0,07989	0,05341	1,449	0,1735	0,01042	0,1175	8,488	<1	<1
P1	2025-04-15	7,73	769,9	15,5	486,9	3,357	1,173	2,303	0,692	26,18	11,76	129,8	10,12	97,87	119,9	163,2	11,03	0,01856	0,9244	17,37	2,233	0,1944	0,1219	0,01825	1,612	0,4041	0,01274	0,03972	7,94	<1	<1
P1	2025-05-15	7,86	1026	16,4	685	5,252	0,8798	6,951	1,59	123,4	32,52	81,3	3,427	89,61	128,6	422,5	18,42	0,01009	1,023	31,61	0,6561	0,2574	0,05532	0,01842	2,893	<0,1	0,01183	0,06256	8,324	<1	<1
P1	2025-06-15	7,62	876,2	14,5	567,9	5,558	0,4885	5,786	1,427	40,66	20,9	127,4	10,92	64,2	178,1	218,8	18,15	<0,01	0,769	31,16	1,02	0,6468	0,05046	0,01908	1,227	0,2589	0,007317	0,07667	7,821	<1	<1
P1	2025-07-15	7,49	811,5	16,2	520,2	9,078	1,128	3,803	0,5329	56,49	26,42	85,54	9,937	164,4	93,08	116,2	27,22	<0,01	1,206	12,19	0,6337	0,2899	0,07843	0,0207	1,443	0,1816	0,007623	0,1258	5,996	<1	<1
P1	2025-08-15	7,80	754	15,2	475,4	7,479	0,8678	3,515	1,146	69,26	14,5	70,65	12,06	180	91,93	41,79	16,47	<0,01	0,9586	23,93	0,5894	0,243	0,07783	<0,01	2,548	0,1938	0,005341	0,06193	7,203	<1	<1
P1	2025-09-15	7,58	648,2	16,4	396,5	6,006	1,348	5,492	0,7187	48,34	5,641	81,55	6,649	124,1	84,72	68,25	11,99	0,01	1,272	22,84	1,122	0,2542	0,08034	0,02458	1,032	0,2328	0,008058	0,03105	6,978	<1	<1
P1	2025-10-15	7,74	1560	17,8	995,9	6,095	0,5665	7,02	0,6948	109,1	12,83	172,9	11,06	539,2	134,2	18,31	7,614	<0,01	1,133	28,08	1,121	0,5117	0,0764	0,02742	4,388	0,2138	0,00611	0,05298	3,873	<1	<1
P1	2025-11-15	7,92	1002	15,4	627,6	9,601	1,947	2,7	1,711	70,83	30,68	100,5	12,81	134,8	186,8	174,5	5,415	0,01739	1,008	32,85	1,01	0,2864	0,04577	0,02783	2,034	0,1507	0,02328	0,05697	9,433	<1	<1
P1	2025-12-15	7,84	989	15,1	641,6	9,176	1,145	4,57	0,8621	67,68	8,782	141,4	15,39	74,71	199,2	249	11,92	<0,01	0,7163	25,97	1,152	1,045	0,03848	0,01078	3,455	0,1944	0,02586	0,04736	2,698	<1	<1
